index,description,tweet_lemma,label_model
10,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM   ,negatif
11,Demo mahasiswa buruh Dan Rakyat Yang melawan terus berlanjut menolak kenaikan BBM Di patung Kuda 13-09-2022 https://t.co/qTRPaTCceS,Demo mahasiswa buruh Dan Rakyat Yang melawan terus berlanjut menolak kenaikan BBM Di patung Kuda        ,negatif
12,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",Tolak Kenaikan Harga BBM          Kota Pangkalpinang  Bangka Belitung   Sept     ,negatif
13,[https://t.co/RbL6jdZ23s]  Mahasiswa IMM Lampung Utara Demo Tolak Kenaikan Harga BBM https://t.co/I7HSf2YLVT #daerah #pemerintahan #news #nasional #ekonomi,    Mahasiswa IMM Lampung Utara Demo Tolak Kenaikan Harga BBM    daerah  pemerintahan  news  nasional  ekonomi,negatif
14,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos). https://t.co/wzkT9221Je",PASCA KENAIKAN HARGA BBM  POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA  Baleendah   Pasca kenaikan harga BBM  Polsek Baleendah Polresta Bandung melaksanakan bakti sosial  baksos    ,positif
15,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,Aksi Demo   telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan   ,negatif
16,"Indonesia 13 September 2022

Aksi tolak kenaikan harga bbm oleh adek-adek Mahasiswa dan STM tidak tersiar di televisi nasional Indonesia arus utama 

Media televisi dibungkam https://t.co/rMLjvrM5tp",Indonesia   September    Aksi tolak kenaikan harga bbm oleh adek adek Mahasiswa dan STM tidak tersiar di televisi nasional Indonesia arus utama   Media televisi dibungkam  ,negatif
17,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",Tolak Kenaikan Harga BBM          Kantor DPRD Lampung Utara   Sept     ,negatif
18,"Suara Penolakan kenaikan harga BBM terus bergulir, hari ini Buruh Bekasi kembali turun ke jalan
#TolakKenaikanHarga_BBM 
#TolakTerusKenaikanBBM https://t.co/vIFFZdlzVx",Suara Penolakan kenaikan harga BBM terus bergulir  hari ini Buruh Bekasi kembali turun ke jalan  TolakKenaikanHarga BBM   TolakTerusKenaikanBBM  ,negatif
19,https://t.co/4UANnFT9LR, ,negatif
20,Om telolet ?????????? https://t.co/ca8oT6AtD4,Om telolet             ,negatif
21,"Tetap Fokus Pada Masalah Rakyat Sekarang ;

?Tolak Kenaikan Harga BBM berSubsidi
?Usut Kasus Sambo Pembantaian Brigadir Jhosua 
?Usut kasus KM 50 Seadil-adilnya
?Usut Uang 11 Ribu Triliun 
?Dll",Tetap Fokus Pada Masalah Rakyat Sekarang     Tolak Kenaikan Harga BBM berSubsidi  Usut Kasus Sambo Pembantaian Brigadir Jhosua   Usut kasus KM   Seadil adilnya  Usut Uang   Ribu Triliun   Dll,netral
22,"MEDAN KEREN !? 
Salah satu tuntutan penolakan kenaikan BBM.

Kenapa tidak ada penolakan rezim yg jadi biang kenaikan semua harga.? https://t.co/rlLRc3nCwC",MEDAN KEREN     Salah satu tuntutan penolakan kenaikan BBM   Kenapa tidak ada penolakan rezim yg jadi biang kenaikan semua harga    ,netral
23,"@SartonoHutomo Batalkan kenaikan harga BBM! 
#AHYPemimpinPerubahan AHY Presiden!!! ???",  Batalkan kenaikan harga BBM    AHYPemimpinPerubahan AHY Presiden       ,netral
24,"@Ryu53944310 @alextham878 aduh.......

apa loe ga malu  dik @AgusYudhoyono ?

tapi... ok lah, kan situ waktu itu lagi tugas mangkanya ga tau apa yg terjadi...

BACA...!!!!
????

https://t.co/Q30KBgJBeh",    aduh         apa loe ga malu  dik      tapi    ok lah  kan situ waktu itu lagi tugas mangkanya ga tau apa yg terjadi     BACA               ,netral
25,"Pangkal pinang 14 September 2022

Tolok kenaikan harga BBM https://t.co/dVRWhUQvZT",Pangkal pinang   September    Tolok kenaikan harga BBM  ,negatif
26,"Gaji Ahok 3,2 miliar/bln. Bkn awak iri, tp apa kontribusi Ahok? Yg ada rakyat dibikin susah dgn kenaikan hrg BBM.

Smentara THP bos2 pertamina miliaran rp stiap blnnya. Konyolnya lg pertamina ngaku rugi! ??????????????? https://t.co/W4GJuu57Zf",Gaji Ahok     miliar bln  Bkn awak iri  tp apa kontribusi Ahok  Yg ada rakyat dibikin susah dgn kenaikan hrg BBM   Smentara THP bos  pertamina miliaran rp stiap blnnya  Konyolnya lg pertamina ngaku rugi                   ,negatif
27,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",      Demonstrasi sah sah saja dalam negara demokrasi tidak boleh dilarang  Asalkan jangan keras dan macam macam     Jangan macam  mungkin salah satunya adlh JANGAN ANARKIS  apalagi  ujung nya MINTA TURUNKAN JOKOWI  Mimpi       ,netral
28,"Masyarakat Kesulitan Imbas BBM Naik, GMNI Pertanyakan Kenaikan Laba Pertamina
https://t.co/0QtZsMFGkB",Masyarakat Kesulitan Imbas BBM Naik  GMNI Pertanyakan Kenaikan Laba Pertamina  ,negatif
29,"Karyawan SPBU WAS-WAS @ganjarpranowo Sidak langsung kenaikan BBM 

#ganjaranapps #ganjaranapp #bbm #ganjarpranowo https://t.co/yEuQsaAN2e",Karyawan SPBU WAS WAS   Sidak langsung kenaikan BBM    ganjaranapps  ganjaranapp  bbm  ganjarpranowo  ,netral
30,Aliansi Mahasiswa NTB melakukan Aksi menolak kenaikan harga BBM di depan kantor DPRD NTB. (Senin 5 September 2022). https://t.co/awZlTVskzP,Aliansi Mahasiswa NTB melakukan Aksi menolak kenaikan harga BBM di depan kantor DPRD NTB   Senin   September      ,negatif
31,Kaum Monas kok tinggal segelintir gitu ya ? Apa kenaikan BBM berpengaruh pada persediaan nasbung ? https://t.co/5yujmYJWmK,Kaum Monas kok tinggal segelintir gitu ya   Apa kenaikan BBM berpengaruh pada persediaan nasbung    ,netral
32,"[Dr. Salim Menyapa NTT]

Seorang tokoh masyarakat di NTT mengapresiasi dan berterima kasih atas sikap Fraksi PKS DPR RI yang menolak kenaikan harga BBM dgn melakukan aksi walk out dr rapat paripurna bbrp waktu lalu.

#DrSalimMenyapaIndonesia 
#DrSalimMenyapaNTT https://t.co/yb4Dkxc18I", Dr  Salim Menyapa NTT   Seorang tokoh masyarakat di NTT mengapresiasi dan berterima kasih atas sikap Fraksi PKS DPR RI yang menolak kenaikan harga BBM dgn melakukan aksi walk out dr rapat paripurna bbrp waktu lalu    DrSalimMenyapaIndonesia   DrSalimMenyapaNTT  ,positif
33,"Beban berat ekonomi rakyat, kenaikan harga BBM, situasi internasional, maraknya protes rakyat paska kenaikan BBM, capres/cawapres partai demokrat dan rencana koalisi akan dibahas 4 ribuan pemimpin partai Demokat  tanggal 15 - 16 September di JCC. Selamat datang peserta Rapimnas.",Beban berat ekonomi rakyat  kenaikan harga BBM  situasi internasional  maraknya protes rakyat paska kenaikan BBM  capres cawapres partai demokrat dan rencana koalisi akan dibahas   ribuan pemimpin partai Demokat  tanggal       September di JCC  Selamat datang peserta Rapimnas ,positif
34,Panas! Demo Tolak Kenaikan BBM. Massa Sebut Partai-partai Borjuis Perampok Hak Rakyat https://t.co/upmIxNt2uy lewat @hajinewsonline,Panas  Demo Tolak Kenaikan BBM  Massa Sebut Partai partai Borjuis Perampok Hak Rakyat   lewat  ,negatif
35,"KENAIKAN harga BBM kali ini mrpkn kebijakan brutal paling sontoloyo. Sdh mahal rakyat yg beli didata Pertamina, seolah mau ngemplang. 
? kalian yg tukang bo'ong koq rakyat yg dicurigai. Terus data publik itu kalian mau tanggungjawab jaganya? Pura2 hilang pdhl kalian jual, kan? https://t.co/85VnbewU1m",KENAIKAN harga BBM kali ini mrpkn kebijakan brutal paling sontoloyo  Sdh mahal rakyat yg beli didata Pertamina  seolah mau ngemplang     kalian yg tukang bo ong koq rakyat yg dicurigai  Terus data publik itu kalian mau tanggungjawab jaganya  Pura  hilang pdhl kalian jual  kan   ,negatif
36,@KieDonwoi Kenaikan BBM sudah tepat agar subsidi BBM bisa dialihkan ke kegiatan yang lebih produktif karena selama ini subsidi BBM tidak tepat sasaran dan terjadi banyak penyalahgunaan,  Kenaikan BBM sudah tepat agar subsidi BBM bisa dialihkan ke kegiatan yang lebih produktif karena selama ini subsidi BBM tidak tepat sasaran dan terjadi banyak penyalahgunaan,positif
37,"Tolak Kenaikan Harga BBM, Massa PMII Paksa Masuk Kantor Balai Kota DKI Jakarta https://t.co/NIxnzd5Mcq",Tolak Kenaikan Harga BBM  Massa PMII Paksa Masuk Kantor Balai Kota DKI Jakarta  ,negatif
38,PMII Kota Bogor Akan Gelar Demo Tolak Kenaikan BBM di Istana Bogor Kamis Besok https://t.co/ybLxq3aj3y https://t.co/4AnhmqRHNl,PMII Kota Bogor Akan Gelar Demo Tolak Kenaikan BBM di Istana Bogor Kamis Besok    ,negatif
39,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",Aksi Driver Ojol se Purwakarta  Tolak Kenaikan Harga BBM  di depan Gedung DPRD Purwakarta      Sept     ,negatif
40,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos).

Baksos ini dengan membagi-bagikan paket sembako kepada masyarakat https://t.co/gfwScHQN8i",PASCA KENAIKAN HARGA BBM  POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA  Baleendah   Pasca kenaikan harga BBM  Polsek Baleendah Polresta Bandung melaksanakan bakti sosial  baksos    Baksos ini dengan membagi bagikan paket sembako kepada masyarakat  ,positif
41,"HUT Partai Demokrat Digelar Sederhana, Andi Arief: Bentuk Simpati atas Mereka yang Tolak Kenaikan BBM https://t.co/KiaW8FMAwa  #RapimnasDemokrat",HUT Partai Demokrat Digelar Sederhana  Andi Arief  Bentuk Simpati atas Mereka yang Tolak Kenaikan BBM     RapimnasDemokrat,positif
42,"Sekian dokumentasi amatiran tentang unjuk rasa penolakan kenaikan BBM kemarin ????

#Ardivisual https://t.co/v5nO4qTCDz",Sekian dokumentasi amatiran tentang unjuk rasa penolakan kenaikan BBM kemarin        Ardivisual  ,negatif
43,Aksi Mahasiswa Tolak Kenaikan Harga BBM di Jakarta Berlangsung hingga Malam https://t.co/NRy9UdLHat #TempoFoto,Aksi Mahasiswa Tolak Kenaikan Harga BBM di Jakarta Berlangsung hingga Malam    TempoFoto,negatif
44,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. (13/Sept/2022) https://t.co/suNhVMc9SR",Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif  akhirnya ricuh lagi  di depan gedung DPRD Provinsi Bengkulu      Sept     ,negatif
45,"Akibat kenaikan harga BBM, Bhima Yudhistira memprediksi persentase penduduk miskin berisiko naik menjadi 10% sampai 10,5% atau 1 juta-1,3 juta orang miskin baru.

Apakah rakyat kecil makin terjepit?

Yuk simak perspektif Direktur IJM
https://t.co/uNIfOQiTLC",Akibat kenaikan harga BBM  Bhima Yudhistira memprediksi persentase penduduk miskin berisiko naik menjadi    sampai      atau   juta     juta orang miskin baru   Apakah rakyat kecil makin terjepit   Yuk simak perspektif Direktur IJM  ,negatif
46,"?? sedih bgt ini terakhir aku ngasih makan ke kitten liar di perumku. soalnya uang dr gajiku udh ga cukup buat beli makan mrk, imbas dr kenaikan bbm. maaf yah dek :"") https://t.co/eOt2t3KVEg",   sedih bgt ini terakhir aku ngasih makan ke kitten liar di perumku  soalnya uang dr gajiku udh ga cukup buat beli makan mrk  imbas dr kenaikan bbm  maaf yah dek      ,netral
47,"@PartaiSocmed Awalnya saya ngk ngerti dan merasa wajar..karena pak dhe bilang subsidi bbm besar,..rupanya tgl pertama di ucapkan sebelum kenaikan BBM,..baru paham saya
Oalah....??",  Awalnya saya ngk ngerti dan merasa wajar  karena pak dhe bilang subsidi bbm besar   rupanya tgl pertama di ucapkan sebelum kenaikan BBM   baru paham saya Oalah      ,netral
48,"#AHYPemimpinPerubahan Tolak kenaikan BBM #BatalkanKenaikanBBM 
#HarapanRakyatPerjuanganDemokrat https://t.co/4JKDntW1Lu", AHYPemimpinPerubahan Tolak kenaikan BBM  BatalkanKenaikanBBM   HarapanRakyatPerjuanganDemokrat  ,negatif
49,"Tolak Kenaikan Harga BBM ???????
(Tugu Bundaran kota Masohi Maluku 12/Sept/2022) https://t.co/vfpIFlOKrC",Tolak Kenaikan Harga BBM          Tugu Bundaran kota Masohi Maluku   Sept     ,negatif
50,"[AKSI TOLAK KENAIKAN HARGA BBM]

??Selasa, 13 September 2022. https://t.co/xfgohgozxj", AKSI TOLAK KENAIKAN HARGA BBM     Selasa    September     ,negatif
51,GIAT MONITORING UNIVERSITAS KRISTEN INDONESIA (UKI) BEKERJA SAMA DENGAN POLRI MEMBERIKAN BANSOS POLRI PRESISI KEPADA MASYARAKAT YANG TERDAMPAK KENAIKAN HARGA BBM DI DEPAN KAMPUS UKI CAWANG KEC. KRAMAT JATI https://t.co/iUwkHMKtKu,GIAT MONITORING UNIVERSITAS KRISTEN INDONESIA  UKI  BEKERJA SAMA DENGAN POLRI MEMBERIKAN BANSOS POLRI PRESISI KEPADA MASYARAKAT YANG TERDAMPAK KENAIKAN HARGA BBM DI DEPAN KAMPUS UKI CAWANG KEC  KRAMAT JATI  ,positif
52,"Kalau ga salah, di APBNP 2022 dipatok harga ICP sebesar USD 100/barel. Nah, per hari ini harga minyak jenis brent USD 87,78 &amp; WTI USD 82,08/barel. Kalau ikut mekanisme pasar ya harusnya kenaikan BBM dibatalkan. Itu kan kata rakyat biasa, mungkin Ulil Amri punya pandangan lain ??",Kalau ga salah  di APBNP   dipatok harga ICP sebesar USD   barel  Nah  per hari ini harga minyak jenis brent USD      amp  WTI USD     barel  Kalau ikut mekanisme pasar ya harusnya kenaikan BBM dibatalkan  Itu kan kata rakyat biasa  mungkin Ulil Amri punya pandangan lain   ,netral
53,"Menteri Ketenagakerjaan RI menjelaskan BSU yang diberikan kepada para pekerja merupakan bukti bahwa negara hadir membantu warga yang kesulitan terdampak kenaikan harga BBM.

@jokowi Gaspool Pemulihan Ekonomi https://t.co/Of0VYNvUY6",Menteri Ketenagakerjaan RI menjelaskan BSU yang diberikan kepada para pekerja merupakan bukti bahwa negara hadir membantu warga yang kesulitan terdampak kenaikan harga BBM     Gaspool Pemulihan Ekonomi  ,positif
54,"AHY Kumpulkan 3.000 Pimpinan Demokrat Se-Indonesia, Sikapi Kenaikan Harga BBM https://t.co/0bKrRXx1T8",AHY Kumpulkan     Pimpinan Demokrat Se Indonesia  Sikapi Kenaikan Harga BBM  ,negatif
55,"Annggota Koramil 0903/Gununghalu monitoring dan pengamanan pendistribusian BLT dampak kenaikan BBM, untuk warga masyarakat Kec.Gununghalu, di kantor pos Gununghalu
@puspentni @tni_ad @KODIM0609KABBDG @penrem062 @kodam3siliwangi @kemensosri
https://t.co/5TqeQQq58I https://t.co/c30XRggZRO",Annggota Koramil   Gununghalu monitoring dan pengamanan pendistribusian BLT dampak kenaikan BBM  untuk warga masyarakat Kec Gununghalu  di kantor pos Gununghalu                ,positif
56,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. ??????? (13/Sept/2022) https://t.co/hkCw0LPnFG https://t.co/fKhvN4n2Rk",Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif  akhirnya ricuh lagi  di depan gedung DPRD Provinsi Bengkulu              Sept       ,negatif
57,"Pasca kenaikan harga BBM, Pemerintah Provinsi Jawa Tengah menggelar rapat koordinasi secara virtual mengenai pengendalian inflasi di daerah yang dipimpin langsung oleh Presiden Joko Widodo. 

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/KAn2AWG7YC",Pasca kenaikan harga BBM  Pemerintah Provinsi Jawa Tengah menggelar rapat koordinasi secara virtual mengenai pengendalian inflasi di daerah yang dipimpin langsung oleh Presiden Joko Widodo     sahabatganjar  ganjarpranowo  Ganjar  ,netral
58,"Demo Tolak Kenaikan Harga BBM di Jakarta Berakhir Ricuh, #BBMNaikRakyatRevolusi Menggema
https://t.co/1XkCtW4Fz4",Demo Tolak Kenaikan Harga BBM di Jakarta Berakhir Ricuh   BBMNaikRakyatRevolusi Menggema  ,negatif
59,@joenaiijb @RohmahRetno @DokterTifa Slogan mensejahterakan rakyat miskin itu perlu di ganti deh... namanya sejahtera itu ya terjamin kebutuhan hidup nya tiap bulannya.. Jadi bukan uang tutup mulut selama 4 bulan karena kenaikan BBM... Setelah 4 bulan tida,      Slogan mensejahterakan rakyat miskin itu perlu di ganti deh    namanya sejahtera itu ya terjamin kebutuhan hidup nya tiap bulannya   Jadi bukan uang tutup mulut selama   bulan karena kenaikan BBM    Setelah   bulan tida,netral
60,"Aksi flashmob oleh DPC PKS Kecamatan Cibinong menolak kenaikan harga BBM bersubsidi. 

#PKStolakKenaikanBBM #PKSPatriotPelayanRakyat #PKSuntukIndonesia https://t.co/By59VtQaHO",Aksi flashmob oleh DPC PKS Kecamatan Cibinong menolak kenaikan harga BBM bersubsidi     PKStolakKenaikanBBM  PKSPatriotPelayanRakyat  PKSuntukIndonesia  ,netral
61,"Pak Ganjar Gandeng BPK untuk Optimalisasi Anggaran atasi kenaikan BBM

#GANTARI???? 
#GanjarTheNextPresiden https://t.co/z3Esdz1U5q",Pak Ganjar Gandeng BPK untuk Optimalisasi Anggaran atasi kenaikan BBM   GANTARI       GanjarTheNextPresiden  ,positif
62,Kepala Divisi Divisi Humas Polri Irjen Dedi bilang begini soal fenomena akibat kenaikan harga BBM. #IrjenDedi https://t.co/Zb3QPdJZYI,Kepala Divisi Divisi Humas Polri Irjen Dedi bilang begini soal fenomena akibat kenaikan harga BBM   IrjenDedi  ,netral
63,"https://t.co/fcsb2vO5oW kembali live aksi menolak kenaikan harga BBM, adik2 mahasiswa yang masih bertahan di kawasan patung kuda Jakarta. https://t.co/EPP3SaMVsa",  kembali live aksi menolak kenaikan harga BBM  adik  mahasiswa yang masih bertahan di kawasan patung kuda Jakarta   ,negatif
64,"@bikhaspurna @Paltiwest @jokowi Mayoritas rakyat mana yg menerima? Rakyat buzzer2 peliharaaan istana? Rakyat berhak mempertanyakan kebijakan yg di nilai arogan. Contohnya kenaikan BBM yg di anggap kebijakan paling arogan pemerintah saat ini, dimna trend m",      Mayoritas rakyat mana yg menerima  Rakyat buzzer  peliharaaan istana  Rakyat berhak mempertanyakan kebijakan yg di nilai arogan  Contohnya kenaikan BBM yg di anggap kebijakan paling arogan pemerintah saat ini  dimna trend m,negatif
65,"Bjorka Memaksa Perhatian Publik Terbelah, Tidak Lagi Dominan Sambo dan Kenaikan BBM
https://t.co/3uMSbOMTiY",Bjorka Memaksa Perhatian Publik Terbelah  Tidak Lagi Dominan Sambo dan Kenaikan BBM  ,netral
66,"""Menolak kebijakan pemerintah menaikkan harga BBM karena berdampak secara signifikan thd berbagai sektor kehidupan krusial masyarakat"" kata Aliansi UI Menolak Kenaikan BBM dlm keterangan tertulis yg disampaikan Ketua BEM UI Bayu Satria Utomo (13/9/2022)
https://t.co/Z8yWdIMcoO", Menolak kebijakan pemerintah menaikkan harga BBM karena berdampak secara signifikan thd berbagai sektor kehidupan krusial masyarakat  kata Aliansi UI Menolak Kenaikan BBM dlm keterangan tertulis yg disampaikan Ketua BEM UI Bayu Satria Utomo          ,netral
67,"@YogaswaraWahyu @Paltiwest @jokowi Buktinya yg demo berapa  sih, yg diam cukup bersuara di medsos berjuta juta bung,  kenaikan BBM dan harga barang saat ini bukan cuma terjadi di negara kita, santai saja sekali kita masih mau iktiar bekerja insya Allah se",      Buktinya yg demo berapa  sih  yg diam cukup bersuara di medsos berjuta juta bung   kenaikan BBM dan harga barang saat ini bukan cuma terjadi di negara kita  santai saja sekali kita masih mau iktiar bekerja insya Allah se,netral
68,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya  ARAS  yang merupakan gabungan dari BEM se Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM  Rabu       siang   Rec   ElshintaNewsAndTalk  ,negatif
69,"Tarif Bus AKAP Melambung Tinggi, Kapitalisasi Fasilitas SDA Sengsarakan Rakyat  | Serba-serbi MMC

Kenaikan BBM jenis Pertalite, Solar, dan Pertamax akhirnya mengerek tarif dasar angkutan Antar Kota Antar Provinsi (AKAP), naik 33 persen. 

https://t.co/0Ch4RqyKfH https://t.co/2HSA0KOKRm",Tarif Bus AKAP Melambung Tinggi  Kapitalisasi Fasilitas SDA Sengsarakan Rakyat    Serba serbi MMC  Kenaikan BBM jenis Pertalite  Solar  dan Pertamax akhirnya mengerek tarif dasar angkutan Antar Kota Antar Provinsi  AKAP   naik   persen       ,positif
70,"Aksi unjuk rasa menolak kenaikan BBM di kawasan Patung Kuda, Jakarta Pusat oleh massa mahasiswa yang mencoba untuk menerobos kawat berduri, Selasa (13/9) sore. ???Asb https://t.co/f2ym6Szotl",Aksi unjuk rasa menolak kenaikan BBM di kawasan Patung Kuda  Jakarta Pusat oleh massa mahasiswa yang mencoba untuk menerobos kawat berduri  Selasa       sore     Asb  ,negatif
71,"Aksi Demo Ojol Banten, Menolak Kenaikan Harga BBM, 12.09.2022 ?????? https://t.co/3KpjIUnCR6",Aksi Demo Ojol Banten  Menolak Kenaikan Harga BBM                ,negatif
72,"#BBMMeroketJokowiTurun 
#BBMMeroketJokowiTurun 
@Syam42933824
@PAS0PATl5151_
@freestranger24
@ArbyZakey3
@AtnoSepta
@NegeriJajahan3l
@omo_sugema6
@karyawantree
@Berliannew
@sampalle
@la1laha1llallah
@SimpatisanFPI__
1
SMKIN MUNCAK JK TK DSIKAPI DGN BIJAK?
https://t.co/QlQTH905Ae https://t.co/pSaQQFeKjG", BBMMeroketJokowiTurun   BBMMeroketJokowiTurun                            SMKIN MUNCAK JK TK DSIKAPI DGN BIJAK     ,netral
73,"@BarlahW @panca66 Tolak kenaikan BBM, Tuan Putri Puan kembali matikan microfon. ???? https://t.co/m34yl5W0u7",    Tolak kenaikan BBM  Tuan Putri Puan kembali matikan microfon        ,negatif
